FECHA	HORA	PM2.5	PM1	SO2	CO	NO	NO2	PM10	NOx	O3	Veloc.	Direc.
01/01/2015	00	11	8	3	0.6	43	70	13	136	5	0.1	335
01/01/2015	01	12	8	3	0.5	38	70	13	129	4	0.3	339
01/01/2015	02	12	8	3	0.7	54	64	13	148	3	0.1	357
01/01/2015	03	12	8	3	0.7	55	59	14	142	3	0.1	345
01/01/2015	04	12	8	4	0.6	40	53	13	114	4	0.2	330
01/01/2015	05	9	6	3	0.4	6	54	11	63	10	0.4	326
01/01/2015	06	9	6	3	0.5	11	52	10	67	6	0.1	333
01/01/2015	07	9	6	3	0.5	28	52	10	94	4	0.1	317
01/01/2015	08	8	5	3	0.4	25	50	9	89	4	0.1	338
01/01/2015	09	7	4	3	0.3			8		13	0.2	252
01/01/2015	10	7	4	3	0.3	8	40	8	53	21	0.3	260
01/01/2015	11	7	4	3	0.3	3	34	8	39	33	0.2	262
01/01/2015	12	7	4	3	0.3	2	27	8	30	51	0.5	280
01/01/2015	13	7	4	3	0.3	2	18	8	21	63	0.8	250
01/01/2015	14	6	4	3	0.3	3	13	7	17	71	1	230
01/01/2015	15	7	4	3	0.2	5	12	7	20	73	0.5	170
01/01/2015	16	7	4	3	0.2	9	12	8	25	73	0.5	214
01/01/2015	17	7	4	3	0.2	9	12	8	26	71	0.4	221
01/01/2015	18	8	5	3	0.3	6	22	10	31	55	0.5	247
01/01/2015	19	8	4	3	0.3	3	22	9	26	55	1.3	238
01/01/2015	20	9	6	3	0.5	3	44	10	48	30	0.7	246
01/01/2015	21	10	7	3	0.5	3	48	11	52	24	0.4	247
01/01/2015	22			3	0.3	4	51		57	12	0.6	236
01/01/2015	23			3	0.3	3	44		48	16	0.1	254
02/01/2015	00			3	0.3	4	46		52	9	0.3	240
02/01/2015	01			3	0.2	3	44		48	12	1.6	236
02/01/2015	02			3	0.1	2	34		36	17	0.1	253
02/01/2015	03			3	0.1	8	34		45	4	0.1	233
02/01/2015	04			4	0.1	5	32		40	8	0.1	220
02/01/2015	05			7	0.1	4	34		39	10	0.7	227
02/01/2015	06			10	0.1	7	43		52	8	0.3	231
02/01/2015	07			13	0.1	27	45		87	4	0.1	223
02/01/2015	08			16	0.1	65	60		159	4	0.1	211
02/01/2015	09			14	0.1					8	0.4	267
02/01/2015	10			10	0.1	36	71		126	12	0.6	256
02/01/2015	11			5	0.1	23	67		103	20	1.6	224
02/01/2015	12	11	7	3	0.1	24	63	12	100	19	0.5	226
02/01/2015	13	15	10	3	0.2	13	66	16	87	30	0.6	213
02/01/2015	14	13	9	3	0.3	5	57	14	65	44	0.5	211
02/01/2015	15	10	7	3	0.2	5	47	11	54	51	0.3	212
02/01/2015	16	7	4	3	0.1	9	42	8	56	48	0.5	229
02/01/2015	17	6	3	3	0.1	10	42	7	57	48	0.4	232
02/01/2015	18	7	4	3	0.2	7	53	8	64	35	0.2	238
02/01/2015	19	10	7	3	0.4	31	81	12	129	12	0.3	307
02/01/2015	20	10	7	3	0.7	192	110	12	404	3	0.1	346
02/01/2015	21	13	9	3	1	240	104	15	473	3	0.1	25
02/01/2015	22	14	10	4	0.8	234	99	16	459	4	0.1	195
02/01/2015	23	13	9	5	0.5	109	74	15	242	3	0.1	273
03/01/2015	00	12	9	3	0.4	85	59	14	189	3	0.2	228
03/01/2015	01	10	7	3	0.2	48	59	11	133	4	0.9	235
03/01/2015	02	9	6	3	0.1	25	51	10	89	3	0.1	220
03/01/2015	03	9	6	3	0.1	21	52	10	83	4	1.4	230
03/01/2015	04	8	5	3	0.1	13	47	10	67	8	0.9	227
03/01/2015	05	9	6	3	0.1	31	49	11	96	4	0.8	241
03/01/2015	06	9	6	3	0.1	38	49	10	107	3	0.1	234
03/01/2015	07	8	5	3	0.1	42	54	9	118	4	1	240
03/01/2015	08	7	4	3	0.1	32	55	8	104	5	0.5	243
03/01/2015	09	11	7	3	0.1			12		7	1.7	229
03/01/2015	10	10	6	3	0.1	50	62	11	137	9	0.6	250
03/01/2015	11	7	4	3	0.1	22	55	8	88	23	0.8	236
03/01/2015	12	6	3	3	0.1	9	50	7	63	31	0.4	279
03/01/2015	13	6	3	3	0.1	10	55	7	70	34	0.2	270
03/01/2015	14	6	3	3	0.1	8	45	7	58	41	0.3	270
03/01/2015	15	6	4	3	0.1	11	36	7	53	48	0.6	216
