Mes,Alnus,Betula,Castanea,Chenopodiaceae.Amarantaceae,Cupressaceae.Taxaceae,Corylus,Mercurialis,Morus,Olea,Palmae,Pinus,Plantago,Platanus,Populus,Quercus,Rumex,Ulmus,Urticaceae
1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
2,2,0,0,0,2,2,1,0,0,0,2,0,0,2,0,0,1,0
3,2,0,0,0,2,0,2,2,0,0,2,1,2,2,1,0,2,0
4,0,2,0,1,1,0,2,2,1,0,1,2,2,2,2,1,1,1
5,0,0,0,2,0,0,2,1,2,0,0,2,0,1,2,2,0,2
6,0,0,1,2,0,0,2,0,2,0,0,2,0,0,2,2,0,2
7,0,0,2,2,0,0,1,0,1,1,0,2,0,0,1,1,0,1
8,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0
9,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
10,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
